author,id,name,rating
Author 17,b24e2588-5543-4654-8691-e2b40763be1a,Book 6997,3
Author 18,2e0a73d8-6ee9-410d-bb9b-d92a0d03dfa7,Book 6998,3
Author 19,3d6f5467-e1ab-46e4-b029-6263c6706506,Book 6999,1
Author 0,4c4ed6da-6241-49bc-bf9c-771e47b1c276,Book 7000,1
Author 1,1c04bc2a-7f88-41a6-b474-9880a7160e44,Book 7001,5
Author 2,ff38926a-c4b6-42ae-8d7f-7036aaf1bdee,Book 7002,5
Author 3,f7fc9cb2-cbfb-4d89-927d-8bad225fba64,Book 7003,2
Author 4,f7e4bf18-881e-440a-bef3-153304938617,Book 7004,5
Author 5,b3e0fab1-9609-46a4-acca-742c01af5ae5,Book 7005,1
Author 6,64a7350b-a99e-4ca3-aa09-7c70ca6a9588,Book 7006,1
Author 7,f6669fce-2428-453c-8028-1e725cf9c59a,Book 7007,1
Author 8,383e3e77-ec83-46a5-81c7-e0c6b21e8ff3,Book 7008,5
Author 9,b4a0b402-f792-4a60-ac38-2a71be85f7cf,Book 7009,4
Author 10,0b91237f-ab55-4b23-95a8-1c255146595d,Book 7010,3
Author 11,2a1dcc49-d280-4713-9e1e-c14e67d09c9f,Book 7011,5
Author 12,fc6d823d-7687-4ed8-9505-cf188135f27c,Book 7012,3
Author 13,9e1b501c-bf4e-42c4-9657-f72eacd5857a,Book 7013,2
Author 14,a204dbac-9390-4fe5-b12c-37618525458b,Book 7014,3
Author 15,c54d7a33-8c84-4db9-8ff5-bddac5e3e910,Book 7015,1
Author 16,f01fb86d-75b0-462f-9c7d-7a9448e698d3,Book 7016,1
Author 17,665278ee-af76-4dd1-9e05-fd6859d6a4d6,Book 7017,1
Author 18,f9392829-5df0-4528-bf60-7233c954987f,Book 7018,2
Author 19,f4bfa774-426b-42f4-bb4a-ed140948d0e6,Book 7019,2
Author 0,611ec840-5d1a-4ac9-b19b-0ce46c8dea50,Book 7020,3
Author 1,8b1d4b88-cba2-4da0-8c3b-0167c0d636b5,Book 7021,4
Author 2,1953c576-c57a-45ff-b3c4-54a241f2faca,Book 7022,3
Author 3,9e1f5161-11d2-47c5-9c73-f67e7fb955ef,Book 7023,3
Author 4,999c664a-1e43-4792-89a5-a2e904015dbf,Book 7024,1
Author 5,0aae2da6-e83f-44e4-9a3d-275d0666a607,Book 7025,3
Author 6,29a2b43d-8850-49ff-a60d-0fb9e929695d,Book 7026,1
Author 7,176677e8-eaba-4447-8efc-62a6bdee26cf,Book 7027,3
Author 8,94658e93-eb84-4052-9414-a987c4628dfa,Book 7028,1
Author 9,7d48f9b3-020b-4856-b5c7-9e8bdbc9f0ef,Book 7029,2
Author 10,a94342c3-5015-4824-b6fb-134176ab1210,Book 7030,2
Author 11,191ef823-ce5d-4c16-b174-674dbb624f08,Book 7031,1
Author 12,686f8fed-d8d3-4aa6-85dc-5302d6b79f6b,Book 7032,3
Author 13,c9dcf745-65d4-4430-b096-f40f1701cbd2,Book 7033,4
Author 14,e2e7f435-d8db-4e37-ad68-7f856e65ff2a,Book 7034,4
Author 15,15eef693-7ac0-4b7d-80dd-a055628c5f2f,Book 7035,2
Author 16,7538177a-6270-4d95-9db6-c2211f8f55bd,Book 7036,5
Author 17,8f1565fb-a95b-47d9-be36-67f86d318af2,Book 7037,3
Author 18,3145cdc1-5410-4e78-bd59-4411445ae011,Book 7038,1
Author 19,c62c3c60-6924-4a04-86af-14af6c261684,Book 7039,2
Author 0,0405769c-8f30-4a5f-80c1-6b7cef49daf8,Book 7040,2
Author 1,ade393a9-8b25-4160-8ba4-5372a460fc03,Book 7041,2
Author 2,02dbd431-cae6-4786-a5fb-dc8dc8ac07ad,Book 7042,3
Author 3,baf7379b-c440-4b13-9533-7beeb7f4d55d,Book 7043,3
Author 4,98463c17-8b7d-456e-b54e-e3181ff610ed,Book 7044,5
Author 5,ab2aaf3b-df32-4a74-93c7-6a2a21948f02,Book 7045,5
Author 6,46661bfe-e16c-4fef-984d-43832f3a559e,Book 7046,5
Author 7,ef60eb03-5435-420c-89c3-2eb967fae333,Book 7047,4
Author 8,92d7e7c9-097c-405e-b124-330d7bacdcd5,Book 7048,1
Author 9,2ea79d6f-a7f1-48a3-8086-7b2662dc9aa4,Book 7049,5
Author 10,d3600302-8742-4056-802f-4cd7f951b86a,Book 7050,5
