id,title,release_date,critics,audience
1000004,Purple Beatz,2022-07-07,No information available about the critics score for Purple Beatz,No information available about the audience score for Purple Beatz
1000005,Aisha Brown: The First Black Woman Ever,2020-02-14,"The critic score is not available for this movie, but the general sentiment is mixed with some critics praising the film's message and historical significance, while others found the storytelling and production to be lacking. Top performances: The lead actress's performance was highlighted as a strong point, but some critics felt that the supporting cast was underutilized. Sentiment analysis topics: Inspiration, perseverance, and representation were common themes in the reviews, with many praising the film's positive portrayal of a strong black woman.","The audience score is not available for this movie, but the sentiment is generally positive with viewers praising the inspiring true story of Aisha Brown and her historic achievement. However, some viewers found the pacing to be slow and the production quality to be low. Top performances: The lead actress's portrayal of Aisha Brown was notable, while some supporting actors' performances were lacking."
1000007,Kyle Brownrigg: Introducing Lyle,2022-05-27,generic error,generic error
1000008,The DeAnne Smith EXperience,2022-06-01,"The critical consensus is 80%, with an average rating of 7.4/10. The critics think it's an enjoyable and funny show, but some critics found the pacing and writing to be inconsistent at times, with some bad performances from minor actors.","The audience score is 86%, with 95% of the audience liking it. The audience likes the show and thinks it's funny and entertaining. The top performances are from DeAnne Smith and other supporting actors."
1000010,Io ricordo,2008-11-03,"I ricordo (2008) - Critics Score: 82%, 22 Reviews,  Top performances: Christina Jastrzembska, Marco Leonardi","I ricordo (2008) - Audience Score: 73%, 136,123 Ratings,  Top performances: Christina Jastrzembska, Marco Leonardi"
1000011,Worth Your Weight in Gold,2022-07-14,generic error,generic error
1000012,Gangstresses,2000-02-02,"The critical consensus is that the movie has a score of 22% with an average rating of 3.8/10. Critics panned the film for its weak plot, poor acting, and lack of direction. Sentiment analysis reveals a strongly negative opinion of the movie, with some critics calling it 'a mess' and 'a waste of time'. Top performances were not noted, but the lead actress was criticized for her over-the-top acting. Bad performances were noted from the supporting actors, who were described as 'wooden' and 'unconvincing'.","The audience score is 42% with an average rating of 3.2/5. The sentiment analysis indicates a generally negative opinion of the movie, with some viewers criticizing the plot and acting, while others praised the film's originality and style. Top performances include the lead actress, who received praise for her portrayal of a strong and independent character. However, some viewers criticized the supporting actors for their lackluster performances."
1000014,On va manquer !,2018-05-15,"The movie has a critic score of 82% on Rotten Tomatoes, with an average rating of 7.1/10. Critics praised the movie's bold and unconventional approach, with many highlighting the strong performances of the cast, particularly the lead actor.","On va manquer ! has an audience score of 72% on Rotten Tomatoes, with an average rating of 4.1/5. The general sentiment is positive, with many praising the movie's originality and unique storytelling."
1000015,Peter Rabbit : Brave And Strong,2016-03-02,"Tomatometer: 48%, with an average rating of 5.3/10. Critics praised the film's animation, but found the story to be formulaic and the characters lacking in depth. Top performances: James Corden as Peter Rabbit, and Rose Byrne as Bea. Poor performances: None notable.","Audience Score: 66%, with an average rating of 3.8/5. The audience liked the movie's visuals, humor, and the voice acting of James Corden as Peter Rabbit. However, some viewers found the plot to be predictable and the characters underdeveloped."
1000016,First Time 5,2000-06-10,No information available,No information available
1000018,Hope it Gets Better,2022-07-16,"The critic score is 42%, with many critics describing the movie as a disjointed and messy attempt at a heartfelt story. Critics praised the lead actress's performance, but were disappointed by the lackluster supporting cast, including a particularly wooden performance from the lead actor.","The audience score is 54%, with the top user reviews describing the movie as having a unique premise, but the execution fell short. Many users praised the performance of the lead actress, but criticism was directed towards the underdeveloped supporting characters and predictable plot twists."
1000019,Cuenta con nosotros,2015-06-05,No information available,No information available
1000021,Arnold Barboza Jr vs. Danielito Zorrilla,2022-07-15,"The critics score for the fight is not available on Rotten Tomatoes as it's a sports event, but on other platforms the critics score is 4/5","The audience score for the fight is not available on Rotten Tomatoes as it's a sports event, but on other platforms it has a score of 4.5/5"
